A 马克思主义、列宁主义、毛泽东思想 
A	马克思主义、列宁主义、毛泽东思想
	1	马克思、恩格斯著作
		11	选集、文集
		12	单行著作
			121	马克思主义形成时期(    -1847年)
			122	革命风暴的高涨与低落时期(1848-1863年)
			123	第一国际和巴黎公社时期(1864-1872年)
			124	马克思主义广泛传播和各国建立社会主义政党时期(1873-1889年6月)
			125	第二国际时期(1889年7月-1895年)
		13	书信集、日记、函电、谈话
		14	诗词
		15	手迹
		16	专题汇编
		18	语录
	2	列宁著作
		21	选集、文集
		22	单行著作
		23	书信集、日记、函电、谈话
		25	手迹
		26	专题汇编
		28	语录
	3	斯大林著作
		31	选集、文集
		32	单行著作
		33	书信集、日记、函电、谈话
		35	手迹
		36	专题汇编
		38	语录
	4	毛泽东著作
		41	选集、文集
		42	单行著作
			421	第一次国内革命战争以前(    -1924年)
			422	第一次国内革命战争时期(1924-1927年7月)
			423	第一次国内革命战争时期(1927年8月-1937年6月)
			424	抗日战争时期(1937年7月-1945年8月)
			425	第三次国内革命战争时期(1945年9-1949年9月)
			426	社会主义革命和社会主义建设时期
		43	书信集、日记、函电、谈话
		44	诗词
		45	手迹
		46	专题汇编
		48	语录
	5	马克思、恩格斯、列宁、斯大林、毛泽东著作汇编
		56	专题汇编
		58	语录
	7	马克思、恩格斯、列宁、斯大林、毛泽东的生平和传记
		71	马克思
		72	恩格斯
		73	列宁
		74	斯大林
		75	毛泽东
	8	马克思主义、列宁主义、毛泽东思想的学习和研究
		81	马克思、恩格斯著作的学习和研究
		82	列宁著作的学习和研究
		83	斯大林著作的学习和研究
		84	毛泽东著作的学习和研究
		85	著作汇编的学习和研究
B 哲学
B	哲学
	0	哲学理论
		0	马克思主义哲学(总论)
		1	哲学基本问题
		2	辩证唯物主义
			21	物质论
			22	意识论
			23	认识论、反映论
			24	唯物辩证法
			25	唯物辩证法诸范畴
			26	思想方法与工作方法
			27	辩证唯物主义的应用
		3	历史唯物主义(唯物史观)
		8	哲学流派及其研究
			81	唯心主义
			82	实证论、经验批判主义(马赫主义)
			83	唯意志论、生命哲学
			84	新康德注意、新黑格尔主义
			85	新实在论、逻辑实证论(新实证论、逻辑经验主义)
			86	存在主义(生存主义)
			87	实用主义
			88	新托马斯主义(新经院哲学)
			89	其他哲学流派
	1	世界哲学
		12	古代哲学
		13	中世纪哲学
		14	近代哲学
		15	现代哲学
		17	马克思主义哲学的传播与发展
	2	中国哲学
		20	唯物主义与唯心主义(总论)
		22	先秦哲学
			221	诸子前哲学
			222	儒家
			223	道家
			224	墨家
			225	名家
			226	法家
			227	阴阳家
			228	纵横家
			229	杂家
		232	秦汉哲学(总论)(公元前221-公元220年)
		233	秦代哲学(公元前221-207年)
		234	汉代哲学(公元前206-公元220年)
		235	三国、晋、南北朝哲学(220-589年)
		241	隋、唐、五代哲学(581-960年)
		244	宋、元哲学(960-1368年)
		248	明代哲学(1368-1644年)
		249	清代哲学(1644-1840年)
		25	近代哲学(1840-1918年)
		26	现代哲学(1919-    年)
		27	马克思主义哲学在中国的传播与发展
	3	亚洲哲学
		302	古代哲学(亚洲)
		303	中世纪哲学(亚洲)
		304	近代哲学(亚洲)
		305	现代哲学(亚洲)
		307	马克思主义哲学在亚洲的传播与发展
		31	东亚哲学
		33	东南亚哲学(一)
		34	东南亚哲学(二)
		35	南亚哲学
		36	中亚哲学
		37	西亚哲学(一)
		38	西亚哲学(二)
	4	非洲哲学
		402	古代哲学(非洲)
		403	中世纪哲学(非洲)
		404	近代哲学(非洲)
		405	现代哲学(非洲)
		407	马克思主义哲学在非洲的传播与发展
		41	北非哲学
		42	东非哲学
		43	西非哲学(一)
		44	西非哲学(二)
		45	西非哲学(三)
		46	中非哲学
		47	南非哲学(一)
		48	南非哲学(二)
	5	欧洲哲学
		502	古代哲学(欧洲)
		503	中世纪哲学(欧洲)
		504	近代哲学(欧洲)
		505	现代哲学(欧洲)
		507	马克思主义哲学在欧洲的传播与发展
		51	东欧、中欧哲学(一)
		52	东欧、中欧哲学(二)
		53	北欧哲学
		54	南欧哲学(一)
		55	南欧哲学(二)
		56	西欧哲学
	6	大洋州哲学
	7	美洲哲学
	80	思维科学(总论)
	81	逻辑学(论理学)
		0	总论
		811	辩证逻辑
		812	形式逻辑(名学、辩学)
		[813]	数理逻辑(符号逻辑)(宜入O141)
		[814]	概率逻辑
		815	哲理逻辑(非经典逻辑)
		819	应用逻辑
	82	伦理学(道德哲学)
		0	总论
		821	人生观、人生哲学
		822	国家道德
		823	家庭、婚姻道德
		824	社会公德
		825	个人修养
	83	美学
		0	总论
		832	美学与社会生产
		832	美学与现实社会生活
		[835]	艺术美学(宜入J01)
	84	心理学
		0	总论
		841	心理学研究方法
		842	心理过程与心理实践
		843	发生心理学
		844	发展心理学(人类心理学)
		845	生理心理学
		846	变态心理学、病态心理学、超意识心理学
		848	个性心理学、人格心理学
		849	应用心理学
	9	无神论、宗教
		91	无神论
		92	宗教
		93	神话与原始宗教
		94	佛教
		95	道教
		96	伊斯兰教(回教)
		97	基督教
		98	其他宗教
		99	迷信术数
C 社会科学
C	社会科学总论
	0	社会科学理论与方法论
	1	社会科学现状、概况
	2	机关、团体、会议
	3	社会科学研究方法
	4	社会科学教育与普及
	5	社会科学丛书、文集、连续性出版物
		51	丛书(汇刻书)
		52	全集、选集
		53	文集、会议录
		54	年鉴、年刊
		55	连续出版物、期刊
	6	社会科学参考工具书
	[7]	社会科学文献检索书
	8	统计学
		81	统计方法
		[82]	专类统计学(宜入有关学科)
		83	世界各国统计资料
	91	社会学
	92	人口学
	93	管理学
	[94]	系统论(系统学、系统工程)(请查N94)
	96	人才学
D	政治、法律
	0	政治理论
	1	共产主义运动、共产党
		1	国际共产主义运动
		2	中国共产党、共产主义青年团
		3	各国共产党
	4	工人、农民、青年、妇女运动与组织
	5	世界政治
	6	中国政治
	7	各国政治
		73	亚洲政治
		74	非洲政治
		75	欧洲政治
		76	大洋州政治
		77	美洲政治
	8	外交、国际关系
	9	法律
E	军事
	0	军事理论
	1	世界军事
	2	中国军事
	3	各国军事
		3	亚洲军事
		4	非洲军事
		5	欧洲军事
		6	大洋州军事
		7	美洲军事
	8	战略、战术、战役
	9	军事技术
	99	军事地形学、军事地理学
F	经济
	0	政治经济学
	1	世界各国经济概况、经济史、经济地理
	2	经济计划与管理
	3	农业经济
	4	工业经济
	5	交通运输经济
	6	有点经济
	7	贸易经济
	8	财政、金融
G	文化、科学、教育、体育
	0	文化理论
	1	世界各国文化事业概况
		11	世界军事
		12	中国军事
		13	亚洲军事
		14	非洲军事
		15	欧洲军事
		16	大洋州军事
		17	美洲军事
	2	信息与知识传播
	3	科学、科学研究
	4	教育
		4	教育
		5	世界各国教育事业
		6	各级教育
		7	各类教育
	8	体育
H	语言、文字
	0	语言学
	1	汉语
	2	中国少数民族语言
	3	常用外国语
		31	英语
		32	法语
		33	德语
		34	西班牙语
		35	俄语
		36	日语
		37	阿拉伯语
	4	各语系语言
		4	汉藏语系
		5	阿尔泰语系(突厥-蒙古-通古斯语系)
		61	南亚语系
		62	南印语系(达罗毗荼语系、德拉维达语系)
		63	南岛语系(马来亚-玻里尼西亚语系)
		64	东北亚诸语系
		65	伊比利亚-高加索语系
		66	芬兰-乌戈尔语系
		67	闪-含语系
		7	印欧语系
		81	非洲诸语系
		83	美洲诸语系
		84	大洋州诸语系
	9	国际辅助语
I	文学
	0	文学理论
	1	世界文学
	2	中国文学
	3	各国文学
		3	亚洲文学
		4	非洲文学	
		5	欧洲文学	
		6	大洋州文学	
		7	美洲文学	
J	艺术			
	0	艺术理论		
	1	世界各国艺术概况		
	2	绘画		
	29	书法、篆刻		
	3	雕塑		
	4	摄影艺术		
	5	工艺美术		
	[59]	建筑艺术(请查TU-8)		
	6	音乐		
	7	舞蹈		
	8	戏剧艺术		
	9	电影、电视艺术		
K	历史、地理			
	0	史学理论		
	1	世界史		
	2	中国史		
	3	各国史		
		3	亚洲史	
		4	非洲史	
		5	欧洲史	
		6	大洋州史	
		7	美洲史	
	81	传记		
		81	世界人物传记及传记研究与编写	
		82	中国人物传记	
		83	各国人物传记	
	85	文物考古		
		85	考古学	
		86	世界文物考古	
		87	中国文物考古	
		88	各国文物考古	
	89	风俗习惯		
	9	地理				
N	自然科学总论			
	0	自然科学理论与方法论		
	1	自然科学现状、概况		
	2	自然科学机关、团体、会议		
	3	自然科学研究方法		
	4	自然科学教育与普及		
	5	自然科学丛书、文集、连续性出版物		
	6	自然科学参考工具书		
	7	自然科学文献检索工具书	
	8	自然科学调查、考察		
	91	自然研究、自然历史		
	94	系统论(系统学、系统工程)		
	99	情报学、情报工作(请查G35)		
O	数理科学和化学			
	1	数学		
		11	古典数学	
		12	初等数学	
		13	高等数学	
		14	数理逻辑、数学基础	
		15	代数、数论、组合理论	
		17	数学分析	
		18	几何、拓扑	
		19	整体分析、流形上分析	
		21	概率论、数理统计	
		22	运筹学	
		23	控制论、信息论(数学理论)	
		24	计算数学	
		29	应用数学	
	3	力学		
		31	理论力学(一般力学)	
		32	振动理论	
		33	连续介质力学(变形体力学)	
		34	固体力学	
		35	流体力学	
		369	物理力学	
		37	流变学
		38	爆炸力学
		39	应用力学
	4	物理学
		41	理论物理学
		42	声学
		43	光学
		44	电磁学、电动力学
		45	无线电物理学
		46	真空电子学(电子物理学)
		47	半导体物理学
		48	固体物理学
		51	低温物理学
		52	高压与高温物理学
		53	等离子体物理学
		55	热学与物质分子运动论
		56	分子物理学、高能物理学
		59	应用物理学
	6	化学
		61	无机化学
		62	有机化学
		63	高分子化学(高聚物)
		64	物理化学(理论化学)、化学物理学
		65	分析化学
		69	应用化学
	7	晶体学
P	天文学、地球科学
	1	天文学
	2	测绘学
	3	地球物理学
	4	气象学
	5	地质学
	6	地质学(二)
	7	海洋学
	9	自然地理学
Q	生物科学
	1	普通生物学
	2	细胞学
	3	遗传学
	4	生物学
	5	生物化学
	6	生物物理学
	7	分子生物学
	81	生物工程学
	[89]	环境生物学(请查X17)
	91	古生物学
	93	微生物学
	94	植物学
	95	动物学
	96	昆虫学
	8	人类学
R	医药、卫生
	1	预防医学、卫生学
	2	中国医学
	3	基础医学
	4	临床医学
	5	内科学
	6	外科学
	71	妇产科学
	72	儿科学
	73	肿瘤学
	74	神经病学与精神病学
	75	皮肤病学与性病学
	76	耳鼻咽喉科学
	77	眼科学
	78	口腔科学
	79	外国民族医学
	8	特种医学
	9	药学
S	农业科学
	1	农业基础科学
	2	农业工程
	3	农学(农艺学)
	4	植物保护
	5	农作物
	6	园艺
	7	林业
	8	畜牧、兽医、狩猎、蚕、蜂
	9	水产、渔业
T	工业科学
	TB	一般工业技术
		1	工程基础科学
		2	工程设计与测绘
		3	工程材料学
			[31]	金属材料(请查TG4)
			32	非金属材料
			33	复合材料
			35	耐低温材料、耐高温材料
			37	耐腐蚀材料
			39	其他特种性能材料
		4	工业通用技术与设备
			41	爆破技术
			42	密封技术
			43	薄膜技术
			44	粉末技术
			48	包装工程
			49	工厂、车间
		5	声学工程
		6	制冷工程
		7	真空技术
		8	摄影技术
		9	计量学
	TD	矿业工程
		1	矿山地质与测量
		2	矿山设计与建设
		3	矿山压力与支护
		4	矿山机械
		5	矿山运输与设备
		6	矿山电工
		7	矿山安全与劳动保护
		8	矿山开采
		9	选矿
	TE	石油、天然气工业
		1	石油、天然气地质与勘探
		2	钻井工程
		3	油气田开发与开采
		5	海上油气田开发与开采
		6	石油、天然气加工工业
		8	石油、天然气存储与运输
		9	石油机械设备与自动化
		[99]	石油、天然气工业环境保护与综合利用(宜入X74)
	TF	金工业
		0	一般性问题
		1	冶金技术
		3	冶金机械、冶金生产自动化
		4	钢铁冶炼(黑色金属冶炼)(总论)
		5	炼铁
		6	铁合金冶炼
		7	炼钢
		79	其他黑色金属冶炼
		8	有色金属冶炼
	TG	金属学、金属工艺
		1	金属学、热处理
		2	铸造
		3	金属压力加工
		4	焊接、金属切割及粘接
		5	金属切削加工及机床
		7	刀具、磨料、磨具、夹具、模具、手工具
		8	公差与技术测量及机械量仪
		9	钳工工艺、装配工艺
	TH	机械、仪表工艺
		11	机械学(机械设计基础理论)
		12	机械设计、计算与制图
		13	机械零件及传动装置
		14	机械制造用材料
		16	机械制造工艺
		17	运行与维修
